file	title	verdict_hint	validation_hint
docs/specs/SPX_COMMAND_CENTER_PHASE0_BASELINE_2026-02-20.md	SPX Command Center Phase 0 Baseline Report	## 2. Baseline Outcome	pnpm exec playwright test e2e/spx-command-palette.spec.ts e2e/spx-command-center.spec.ts e2e/spx-coach-messages.spec.ts e2e/spx-setup-interaction.spec.ts --project=chromium --workers=1
docs/specs/SPX_COMMAND_CENTER_PHASE10_SLICE_P10-S1_2026-02-21.md	SPX Command Center Phase 10 Slice Report	Status: Done	5. Feature-flag lifecycle metadata catalog + completeness validation.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S10_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S10	Executed and passed:	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S11_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S11	Scope: Failure attribution, trend-family optimization, ORB flow-quality gate, execution hardening, and promotion guardrails.	Scope: Failure attribution, trend-family optimization, ORB flow-quality gate, execution hardening, and promotion guardrails.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S1_2026-02-21.md	SPX Command Center Phase 11 - Slice P11-S1	Result (2026-02-16 to 2026-02-20):	3. `/Users/natekahl/ITM-gd/backend/src/services/setupDetector/tradeBuilder.ts`
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S2_2026-02-21.md	SPX Command Center Phase 11 - Slice P11-S2	4. `failure rate=66.67%`	### 2) Fade-specific quality gate
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S3_2026-02-21.md	SPX Command Center Phase 11 - Slice P11-S3	Result (actionable-only default):	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S4_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S4	Added Wilson 95% confidence intervals for T1/T2/failure rates:	2. Validation promotion compares conservative objective versus baseline.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S5_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S5	1. Added runner leg accounting for `t1_before_stop` outcomes.	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S6_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S6	Executed and passed:	Scope: Setup-specific SL/TP policy for fade runners, mean-reversion target retune, and strict Massive replay validation.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S7_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S7	4. Historical reconstruction now passes per-bar trend strength for deterministic replay parity.	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S8_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S8	Executed and passed:	Scope: Win-rate lift through setup-family gating refinement, persistent optimizer pauses, and validation replay.
docs/specs/SPX_COMMAND_CENTER_PHASE11_SLICE_P11-S9_2026-02-22.md	SPX Command Center Phase 11 - Slice P11-S9	3. Set `includePausedSetups=true` in `/Users/natekahl/ITM-gd/backend/src/services/spx/optimizer.ts` (`loadOutcomeOverridesFromBacktest`).	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S1_2026-02-22.md	SPX Command Center Phase 12 - Slice P12-S1	Executed and passed:	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S2_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S2 (2026-02-22)	N/A	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S3_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S3 (2026-02-22)	N/A	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S4_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S4 (2026-02-22)	Implement fail-closed nightly optimizer quality gates and database/query optimizations so nightly optimization only promotes from high-fidelity Massive-driven actuals and scales safely for larger historical ranges.	Implement fail-closed nightly optimizer quality gates and database/query optimizations so nightly optimization only promotes from high-fidelity Massive-driven actuals and scales safely for larger historical ranges.
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S5_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S5 (2026-02-22)	1. Replacing heuristic-only setup win-probability calibration with realized-outcome calibration from `spx_setup_instances`.	3. Automated fail-closed promotion remains enforced via optimizer data-quality gate. ✅
docs/specs/SPX_COMMAND_CENTER_PHASE12_SLICE_P12-S6_2026-02-22.md	SPX Command Center Phase 12 Slice P12-S6 (2026-02-22)	   - `failure=17.65%`	3. Validation gates (lint, typecheck, targeted tests, targeted Playwright, strict backtest, weekly optimizer scan).
docs/specs/SPX_COMMAND_CENTER_PHASE13_INSTITUTIONAL_FIDELITY_SPEC_2026-02-22.md	SPX Command Center Phase 13: Institutional Fidelity & Hardening	**Status:** Approved for implementation (spec-first)	## 7) Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE13_SLICE_P13-S1_2026-02-22.md	SPX Command Center Phase 13 Slice P13-S1 (2026-02-22)	N/A	## Validation Gates (Slice)
docs/specs/SPX_COMMAND_CENTER_PHASE13_SLICE_P13-S2_2026-02-22.md	SPX Command Center Phase 13 Slice P13-S2 (2026-02-22)	3. `backend/src/services/spx/outcomeTracker.ts`	2. Build live microstructure summary from recent tick cache:
docs/specs/SPX_COMMAND_CENTER_PHASE13_SLICE_P13-S3_2026-02-22.md	SPX Command Center Phase 13 Slice P13-S3 (2026-02-22)	3. Retained fail-open microstructure default for unavailable data and surfaced blocker mix in scorecard.	   - `metadata.macroAlignmentScore`
docs/specs/SPX_COMMAND_CENTER_PHASE13_SLICE_P13-S4_2026-02-22.md	SPX Command Center Phase 13 Slice P13-S4 (2026-02-22)	   - `attemptedDays=5`, `successfulDays=5`, `failedDays=0`.	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_INSTITUTIONAL_UPGRADE_SPEC_2026-02-22.md	SPX Command Center Phase 14: Institutional Upgrade & Tradier Readiness	**Status:** Approved for implementation (spec-first)	2. Upgrading setup-quality signals to directional, quote-aware validation.
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S10_2026-02-23.md	Phase 14 — Slice P14-S10: Time-Bucket Expansion (3→5 Buckets + Late-Session Geometry)	pnpm --dir backend exec tsc --noEmit   → PASS (0 errors)	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S11_2026-02-23.md	Phase 14 — Slice P14-S11: Expand Geometry Sweep to 7 Families	- Convert hardcoded result records to dynamic `Object.fromEntries()` pattern	- Update CLI script (`spxSweepGeometry.ts`) for 7-family validation
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S12_2026-02-23.md	Phase 14 — Slice P14-S12: Direction-Aware Sweep Library	- New types: `SweepDirection`, `DirectionSweepFamilyResult`	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S13_2026-02-23.md	Phase 14 — Slice P14-S13: Direction-Aware Optimizer Integration	pnpm --dir backend exec tsc --noEmit   → PASS (0 errors)	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S14_2026-02-23.md	Phase 14 — Slice P14-S14: Regime-Adaptive Partials + Breakeven+ Stop	Replace fixed 65% partial at T1 with regime-specific values and convert "move stop to breakeven" into "breakeven + 0.15R" to convert T2 failures into micro-wins.	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S15_2026-02-23.md	Phase 14 — Slice P14-S15: GEX-Adaptive Stop Scaling	pnpm --dir backend exec tsc --noEmit   → PASS (0 errors)	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S16_2026-02-23.md	Phase 14 — Slice P14-S16: VWAP Bridge to Optimizer	- Tolerance: ±0.15% allows setups near VWAP to pass (avoids over-filtering at VWAP cross)	- Compute VWAP from session bars in `buildIndicatorContextFromBars()`
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S1_2026-02-22.md	SPX Command Center Phase 14 Slice Report: P14-S1	**Status:** Done	## 3) Validation Evidence
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S2_2026-02-22.md	SPX Command Center Phase 14 Slice Report: P14-S2	**Status:** Done	## 3) Validation Evidence
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S3_2026-02-22.md	SPX Command Center Phase 14 Slice Report: P14-S3	**Status:** Done	3. Added order-router payload builders for:
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S4_2026-02-22.md	SPX Command Center Phase 14 Slice Report: P14-S4	**Status:** Done	## 3) Validation Evidence
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S5_2026-02-22.md	SPX Command Center Phase 14 Slice Report: P14-S5	**Status:** Completed (Promotion Blocked)	1. Execute required validation gates for the integrated Phase 14 stack.
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S6_2026-02-22.md	SPX Command Center Phase 14 Slice Report: P14-S6	**Status:** Completed	1. Full-range historical rebuild (`2026-01-27` through `2026-02-21`) completion.
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S7_2026-02-23.md	SPX Command Center Phase 14 Slice Report: P14-S7	**Status:** Completed	1. Geometry optimization on validation window (Stage 2 sweeps training data only).
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S8_2026-02-23.md	Phase 14 — Slice P14-S8: Rescue ORB Breakout (Flow Grace + Range Width Filter)	- Flow confirmation gate: bypassed when `orbFlowGraceEligible`	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE14_SLICE_P14-S9_2026-02-23.md	Phase 14 — Slice P14-S9: Strategy Gate Recalibration	Unblock breakout_vacuum (0% trigger rate due to unreachable gates) and tighten trend_pullback (38.71% failure rate — highest among active families).	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE15_SLICE_P15-S1_2026-02-22.md	SPX Command Center Phase 15 Slice Report: P15-S1	**Status:** Completed	## 5) Validation
docs/specs/SPX_COMMAND_CENTER_PHASE15_SLICE_P15-S2_2026-02-22.md	SPX Command Center Phase 15 Slice Report: P15-S2	**Status:** Completed	## 4) Validation
docs/specs/SPX_COMMAND_CENTER_PHASE15_SLICE_P15-S3_2026-02-22.md	SPX Command Center Phase 15 Slice Report: P15-S3	**Status:** Completed	## 4) Validation
docs/specs/SPX_COMMAND_CENTER_PHASE15_SLICE_P15-S4_2026-02-22.md	SPX Command Center Phase 15 Slice Report: P15-S4	**Status:** Completed	## 4) Validation
docs/specs/SPX_COMMAND_CENTER_PHASE15_SLICE_P15-S5_2026-02-22.md	SPX Command Center Phase 15 Slice Report: P15-S5	**Objective:** Ensure optimizer `passesCandidate` produces consistent results with detector's grace-aware gating.	## 4) Validation
docs/specs/SPX_COMMAND_CENTER_PHASE15_SLICE_P15-S6_2026-02-22.md	SPX Command Center Phase 15 Slice Report: P15-S6	**Status:** Completed (Promotion Blocked)	- `pnpm --dir backend exec tsc --noEmit`
docs/specs/SPX_COMMAND_CENTER_PHASE16_INSTITUTIONAL_COMPLETION_PLAN_2026-02-22.md	SPX Command Center Phase 16: Institutional Completion Plan	**Status:** Proposed (ready to execute)	Goal: run full validation and make promote/block decision with explicit evidence.
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S1_2026-02-22.md	SPX Command Center Phase 16 Slice Report: P16-S1	**Status:** Completed (Re-baseline captured; promotion not eligible)	## 4) Validation Gates and Results
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S2_2026-02-22.md	SPX Command Center Phase 16 Slice Report: P16-S2	**Status:** Completed (partial blocker reduction; promotion still not eligible)	## 4) Validation Gates and Results
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S3_2026-02-23.md	SPX Command Center Phase 16 Slice Report: P16-S3	**Status:** Completed (evidence durability improved; throughput unchanged)	## 4) Validation Gates and Results
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S4_2026-02-23.md	SPX Command Center Phase 16 Slice Report: P16-S4	**Status:** Completed (hardening delivered; strategy throughput unchanged)	4. Add fail/warn data-quality gates for excessive proxy fill share in automated optimizer mode.
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S5_2026-02-23.md	SPX Command Center Phase 16 Slice Report: P16-S5	**Status:** Completed (governance fail-closed active; promotion remains blocked)	## 4) Validation Gates and Results
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S6_2026-02-23.md	SPX Command Center Phase 16 Slice Report: P16-S6	**Objective:** Run full Phase 16 release gates and record institutional promotion decision with explicit evidence.  	1. Execute release validation gates (`test`, `build`, strict replay/backfill/attribution/optimizer scan).
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S7_2026-02-22.md	P16-S7: Full Telemetry Persistence for Continuous Improvement	3. Persist all telemetry fields in `outcomeTracker.ts` `toTrackedRow()` metadata JSONB	2. Inject computed telemetry into setup objects during building in `setupDetector.ts`
docs/specs/SPX_COMMAND_CENTER_PHASE16_SLICE_P16-S7_2026-02-23.md	SPX Command Center Phase 16 Slice Report: P16-S7	## 4) Validation Gates and Results	## 4) Validation Gates and Results
docs/specs/SPX_COMMAND_CENTER_PHASE17_EXECUTION_SPEC_2026-02-23.md	SPX Command Center Phase 17: Execution Hardening & Strategy Optimization	4. Strategy optimization changes must pass walk-forward promotion gates (T1 delta >= +3pp, expectancy delta >= +0.10R, failure rate delta <= +1pp).	7. Deliver all changes with strict replay validation, walk-forward optimizer promotion gates, and full E2E test coverage.
docs/specs/SPX_COMMAND_CENTER_PHASE18_CLOSEOUT_AUDIT_2026-02-24.md	SPX Command Center Phase 18 Closeout Audit	## Completion Verdict	## Quality Gate Evidence (2026-02-24)
docs/specs/SPX_COMMAND_CENTER_PHASE18_EXECUTION_SPEC_2026-02-23.md	SPX Command Center — Phase 18: Strategic Intelligence & Full Data Integration	- **Status:** PROPOSED	4. **Building real-time options flow analysis** to detect institutional positioning and improve entry timing
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_A_SLICE_1.md	SPX Command Center Phase 18 — Phase A Slice 1 (A.PR-1 Start)	Status: in_progress	## Validation Gates
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_A_SLICE_2.md	SPX Command Center Phase 18 — Phase A Slice 2	Status: Implemented (local)	## Validation Gates Executed
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_A_SLICE_3.md	SPX Command Center Phase 18 — Phase A Slice 3	Status: Implemented (local)	## Validation Gates Executed
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_A_SLICE_4.md	SPX Command Center Phase 18 — Phase A Slice 4	Status: Implemented (local)	   - setup-detector bridge validation (window signal confirmation path)
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_B_SLICE_1.md	SPX Command Center Phase 18 — Phase B Slice 1	Status: Implemented (local)	## Validation Gates Executed
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_B_SLICE_2.md	SPX Command Center Phase 18 — Phase B Slice 2	Status: Implemented (local)	## Validation Gates Executed
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_B_SLICE_3.md	SPX Command Center Phase 18 — Phase B Slice 3	Status: Implemented (local)	## Validation Gates Executed
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_C_SLICE_1.md	SPX Command Center Phase 18 — Phase C Slice 1	Status: Implemented (feature-flagged rollout)	## Validation run
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_C_SLICE_2.md	SPX Command Center Phase 18 — Phase C Slice 2	Status: Implemented (feature-flagged rollout)	## Validation run
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_1.md	SPX Command Center Phase 18 — Phase D Slice 1	Status: Implemented (feature-flagged rollout)	## Validation run
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_2.md	SPX Command Center Phase 18 — Phase D Slice 2	Status: Implemented	## Validation run
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_3.md	SPX Command Center Phase 18 — Phase D Slice 3	Status: Implemented	## Validation
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_4.md	SPX Command Center Phase 18 — Phase D Slice 4	Status: Implemented	  - `buildTriggerContext()` (latency updates + trigger snapshot)
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_5.md	SPX Command Center Phase 18 — Phase D Slice 5	Status: Implemented	N/A
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_6.md	SPX Command Center Phase 18 — Phase D Slice 6	**Status:** Completed	- `pnpm exec tsc --noEmit` ✅
docs/specs/SPX_COMMAND_CENTER_PHASE18_PHASE_D_SLICE_7.md	SPX Command Center Phase 18 — Phase D Slice 7	**Status:** Completed (Code + Live Rollout Applied)	### 2) Handle-chat-message token issuance + validation
docs/specs/SPX_COMMAND_CENTER_PHASE18_RELEASE_NOTES_2026-02-23.md	SPX Command Center Phase 18 Release Notes	- Type checks passed (frontend + backend).	## Quality gates executed
docs/specs/SPX_COMMAND_CENTER_PHASE18_RUNBOOK_2026-02-23.md	SPX Command Center Phase 18 Runbook	Status: Draft for release execution  	- Verify branch CI/build status is green.
docs/specs/SPX_COMMAND_CENTER_PHASE1_RECOVERY_2026-02-20.md	SPX Command Center Phase 1 Recovery Report	Result:	pnpm exec playwright test e2e/spx-command-palette.spec.ts e2e/spx-command-center.spec.ts e2e/spx-coach-messages.spec.ts e2e/spx-setup-interaction.spec.ts --project=chromium --workers=1
docs/specs/SPX_COMMAND_CENTER_PHASE2_SLICE_P2-S1_2026-02-20.md	SPX Command Center Phase 2 Slice Report (`P2-S1`)	## 5. Behavioral Outcome	pnpm exec eslint app/members/spx-command-center/page.tsx hooks/use-spx-command-registry.ts lib/spx/commands.ts
docs/specs/SPX_COMMAND_CENTER_PHASE2_SLICE_P2-S2_2026-02-20.md	SPX Command Center Phase 2 Slice Report (`P2-S2`)	Result: pass	pnpm exec eslint app/members/spx-command-center/page.tsx hooks/use-spx-command-registry.ts lib/spx/commands.ts
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S1_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S1`)	Result: pass	3. Applied a defensive service-worker registration guard discovered during validation to prevent runtime route crashes when registration resolves to an undefined value.
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S2_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S2`)	1. Repaired preflight TypeScript baseline failures in unrelated test mocks by making mock signatures explicit and replacing brittle call-index assertions with argument matchers.	pnpm exec tsc --noEmit
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S3_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S3`)	Result: pass	pnpm exec tsc --noEmit
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S4_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S4`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-desktop-spatial-canvas.tsx components/spx-command-center/spx-command-center-shell-containers.tsx app/members/spx-command-center/page.tsx hooks/use-spx-command-controller.ts
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S5_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S5`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-command-center-shell-containers.tsx components/spx-command-center/spx-desktop-spatial-canvas.tsx app/members/spx-command-center/page.tsx hooks/use-spx-command-controller.ts
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S6_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S6`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-mobile-surface-orchestrator.tsx components/spx-command-center/spx-command-center-shell-containers.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-desktop-spatial-canvas.tsx app/members/spx-command-center/page.tsx hooks/use-spx-command-controller.ts
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S7_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S7`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-command-center-shell-containers.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-mobile-surface-orchestrator.tsx components/spx-command-center/spx-desktop-spatial-canvas.tsx components/spx-command-center/spx-command-center-shell-sections.tsx app/members/spx-command-center/page.tsx hooks/use-spx-command-controller.ts
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S8_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S8`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-command-center-shell-containers.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-mobile-surface-orchestrator.tsx components/spx-command-center/spx-desktop-spatial-canvas.tsx components/spx-command-center/spx-command-center-shell-sections.tsx app/members/spx-command-center/page.tsx hooks/use-spx-command-controller.ts
docs/specs/SPX_COMMAND_CENTER_PHASE3_SLICE_P3-S9_2026-02-20.md	SPX Command Center Phase 3 Slice Report (`P3-S9`)	Execute a Phase 3 exit pass by removing remaining route/container inline shell policy logic and finalizing explicit typed boundaries for desktop view/layout decisions.	pnpm exec eslint components/spx-command-center/spx-coach-preview-card.tsx components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-command-center-shell-containers.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-mobile-surface-orchestrator.tsx components/spx-command-center/spx-desktop-spatial-canvas.tsx components/spx-command-center/spx-command-center-shell-sections.tsx app/members/spx-command-center/page.tsx hooks/use-spx-command-controller.ts
docs/specs/SPX_COMMAND_CENTER_PHASE4_SLICE_P4-S1_2026-02-20.md	SPX Command Center Phase 4 Slice Report (`P4-S1`)	Result: pass	pnpm exec eslint lib/spx/overlay-presets.ts components/spx-command-center/action-strip.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx hooks/use-spx-command-controller.ts components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-command-center-shell-containers.tsx app/members/spx-command-center/page.tsx
docs/specs/SPX_COMMAND_CENTER_PHASE4_SLICE_P4-S2_2026-02-20.md	SPX Command Center Phase 4 Slice Report (`P4-S2`)	Result: pass	pnpm exec eslint components/spx-command-center/action-strip.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-command-center-shell-containers.tsx hooks/use-spx-command-controller.ts lib/spx/overlay-presets.ts app/members/spx-command-center/page.tsx
docs/specs/SPX_COMMAND_CENTER_PHASE5_SLICE_P5-S1_2026-02-20.md	SPX Command Center Phase 5 Slice Report (`P5-S1`)	Result: pass	pnpm exec eslint components/spx-command-center/action-strip.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-command-center-shell-adapters.ts hooks/use-spx-command-controller.ts e2e/spx-primary-cta-hierarchy.spec.ts e2e/spx-overlay-packaging.spec.ts
docs/specs/SPX_COMMAND_CENTER_PHASE5_SLICE_P5-S2_2026-02-20.md	SPX Command Center Phase 5 Slice Report (`P5-S2`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-mobile-surface-orchestrator.tsx components/spx-command-center/setup-feed.tsx components/spx-command-center/ai-coach-feed.tsx e2e/spx-responsive.spec.ts e2e/spx-mobile-coach-cta-hierarchy.spec.ts
docs/specs/SPX_COMMAND_CENTER_PHASE5_SLICE_P5-S3_2026-02-20.md	SPX Command Center Phase 5 Slice Report (`P5-S3`)	Result: pass	pnpm exec eslint components/spx-command-center/spx-header.tsx components/spx-command-center/mobile-panel-tabs.tsx components/spx-command-center/ai-coach-feed.tsx e2e/spx-header-signal-clarity.spec.ts
docs/specs/SPX_COMMAND_CENTER_PHASE6_SLICE_P6-S1_2026-02-20.md	SPX Command Center Phase 6 Slice Report (`P6-S1`)	5. Ran final static/release gates (`lint`, `tsc`, `build`) and post-cleanup SPX smoke E2E.	5. Ran final static/release gates (`lint`, `tsc`, `build`) and post-cleanup SPX smoke E2E.
docs/specs/SPX_COMMAND_CENTER_PHASE7_SLICE_P7-S1_2026-02-21.md	SPX Command Center Phase 7 Slice Report (`P7-S1`)	Result: pass	pnpm exec eslint contexts/SPXCommandCenterContext.tsx lib/spx/event-schema.ts lib/spx/feed-health.ts lib/spx/market-data-orchestrator.ts lib/spx/__tests__/event-schema.test.ts lib/spx/__tests__/feed-health.test.ts lib/spx/__tests__/market-data-orchestrator.test.ts
docs/specs/SPX_COMMAND_CENTER_PHASE7_SLICE_P7-S2_2026-02-21.md	SPX Command Center Phase 7 Slice Report (`P7-S2`)	Result: pass	pnpm exec eslint lib/spx/feed-health.ts contexts/spx/SPXAnalyticsContext.tsx contexts/SPXCommandCenterContext.tsx hooks/use-spx-command-controller.ts hooks/use-spx-command-registry.ts components/spx-command-center/spx-header.tsx components/spx-command-center/action-strip.tsx components/spx-command-center/spx-desktop-surface-orchestrator.tsx components/spx-command-center/spx-command-center-shell-adapters.ts components/spx-command-center/spx-mobile-surface-orchestrator.tsx e2e/spx-header-signal-clarity.spec.ts e2e/spx-primary-cta-hierarchy.spec.ts lib/spx/__tests__/feed-health.test.ts
docs/specs/SPX_COMMAND_CENTER_PHASE8_SLICE_P8-S1_2026-02-21.md	SPX Command Center Phase 8 Slice Report (`P8-S1`)	Result: pass	2. Added setup enrichment helper that projects decision outputs back into setup model fields (`score`, `pWinCalibrated`, `evR`, `alignmentScore`, `confidenceTrend`, drivers/risks).
docs/specs/SPX_COMMAND_CENTER_PHASE8_SLICE_P8-S2_2026-02-21.md	SPX Command Center Phase 8 Slice Report (`P8-S2`)	Result: pass	pnpm exec eslint lib/spx/risk-envelope.ts lib/spx/__tests__/risk-envelope.test.ts hooks/use-spx-command-controller.ts hooks/use-spx-command-registry.ts
docs/specs/SPX_COMMAND_CENTER_PHASE8_SLICE_P8-S3_2026-02-21.md	SPX Command Center Phase 8 Slice Report (`P8-S3`)	Result: pass	   - default invalidation/stop guidance when missing
docs/specs/SPX_COMMAND_CENTER_PHASE9_SLICE_P9-S1_2026-02-21.md	SPX Command Center Phase 9 Slice Report	Status: Done	1. `pnpm exec eslint <phase 9 touched files>`
docs/specs/SPX_COMMAND_CENTER_PRODUCTION_RECOVERY_EXECUTION_SPEC_2026-02-20.md	SPX Command Center Production Recovery Execution Spec	7. SPX-specific tests and release gates.	2. Risk envelope tile shows max loss, position cap, invalidation trigger, and block reason.
docs/specs/SPX_COMMAND_CENTER_RELEASE_NOTES_2026-02-21.md	SPX Command Center Release Notes	12. Phase 11 slice P11-S8 complete: mean-reversion quality floor uplift, breakout-vacuum gate hardening, persistent manual optimizer setup pauses, and validated last-week strict replay improvement in T1/T2/failure/expectancy.	7. Blocking evidence snapshot (latest strict window): `triggered=1`, `resolved=1`, `T1=0%`, `T2=0%`, `failure=100%`, `expectancyR=-1.04`; optimizer data-quality gate passed (`options replay coverage=100%`, replay universe `102`) but governance remained unqualified.
docs/specs/SPX_COMMAND_CENTER_RUNBOOK_2026-02-20.md	SPX Command Center Runbook (Recovery Track)	2. `pnpm exec eslint .` passes without errors.	1. Use Node `>=22` for official release candidate validation.
